{'type': 'buy', 'datetime': datetime.datetime(2023, 3, 1, 0, 53), 'price': 0.08042, 'size': 1000, 'value': 1000.0, 'cash_remaining': 1000.0}
{'type': 'sell', 'datetime': datetime.datetime(2023, 3, 1, 1, 11), 'price': 0.08081, 'size': 1000, 'value': 1000.3900000000001, 'cash_remaining': 919.58}
{'type': 'buy', 'datetime': datetime.datetime(2023, 3, 1, 7, 40), 'price': 0.08231, 'size': 1000, 'value': 1000.4000000000001, 'cash_remaining': 1000.4000000000001}
{'type': 'sell', 'datetime': datetime.datetime(2023, 3, 1, 8, 55), 'price': 0.08254, 'size': 1000, 'value': 1000.6300000000001, 'cash_remaining': 918.0900000000001}
{'type': 'buy', 'datetime': datetime.datetime(2023, 3, 1, 9, 24), 'price': 0.08227, 'size': 1000, 'value': 1000.6200000000001, 'cash_remaining': 1000.6200000000001}
{'type': 'sell', 'datetime': datetime.datetime(2023, 3, 1, 10, 27), 'price': 0.08208, 'size': 1000, 'value': 1000.4300000000002, 'cash_remaining': 918.3500000000001}
{'type': 'buy', 'datetime': datetime.datetime(2023, 3, 1, 11, 30), 'price': 0.08214, 'size': 1000, 'value': 1000.4400000000002, 'cash_remaining': 1000.4400000000002}
{'type': 'sell', 'datetime': datetime.datetime(2023, 3, 1, 14, 24), 'price': 0.08212, 'size': 1000, 'value': 1000.4200000000002, 'cash_remaining': 918.3000000000002}
{'type': 'buy', 'datetime': datetime.datetime(2023, 3, 1, 16, 7), 'price': 0.0818, 'size': 1000, 'value': 1000.4200000000002, 'cash_remaining': 1000.4200000000002}
{'type': 'sell', 'datetime': datetime.datetime(2023, 3, 1, 16, 43), 'price': 0.08185, 'size': 1000, 'value': 1000.4700000000003, 'cash_remaining': 918.6200000000002}
{'type': 'buy', 'datetime': datetime.datetime(2023, 3, 1, 18, 31), 'price': 0.08174, 'size': 1000, 'value': 1000.4800000000002, 'cash_remaining': 1000.4800000000002}
{'type': 'sell', 'datetime': datetime.datetime(2023, 3, 1, 21, 15), 'price': 0.0816, 'size': 1000, 'value': 1000.3500000000003, 'cash_remaining': 918.7500000000002}
{'type': 'buy', 'datetime': datetime.datetime(2023, 3, 1, 22, 19), 'price': 0.08189, 'size': 1000, 'value': 1000.3400000000003, 'cash_remaining': 1000.3400000000003}
{'type': 'sell', 'datetime': datetime.datetime(2023, 3, 1, 23, 37), 'price': 0.08194, 'size': 1000, 'value': 1000.3900000000003, 'cash_remaining': 918.4500000000003}
