{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 3, 4, 56), 'price': 0.07148, 'size': 1000, 'value': 1000.48, 'cash_remaining': 1000.48}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 3, 5, 16), 'price': 0.07164, 'size': 1000, 'value': 1000.64, 'cash_remaining': 929.0}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 3, 6, 44), 'price': 0.07192, 'size': 1000, 'value': 1000.64, 'cash_remaining': 1000.64}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 3, 8, 2), 'price': 0.07196, 'size': 1000, 'value': 1000.6800000000001, 'cash_remaining': 928.72}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 3, 8, 10), 'price': 0.0718, 'size': 1000, 'value': 1000.6800000000001, 'cash_remaining': 1000.6800000000001}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 3, 8, 59), 'price': 0.07172, 'size': 1000, 'value': 1000.5900000000001, 'cash_remaining': 928.8700000000001}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 3, 11, 0), 'price': 0.07175, 'size': 1000, 'value': 1000.5900000000001, 'cash_remaining': 1000.5900000000001}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 3, 13, 23), 'price': 0.07152, 'size': 1000, 'value': 1000.3600000000001, 'cash_remaining': 928.8400000000001}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 3, 14, 53), 'price': 0.07136, 'size': 1000, 'value': 1000.3600000000001, 'cash_remaining': 1000.3600000000001}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 3, 18, 27), 'price': 0.06988, 'size': 1000, 'value': 998.9100000000001, 'cash_remaining': 929.0300000000001}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 3, 22, 0), 'price': 0.0701, 'size': 1000, 'value': 998.9200000000001, 'cash_remaining': 998.9200000000001}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 3, 22, 51), 'price': 0.07005, 'size': 1000, 'value': 998.86, 'cash_remaining': 928.8100000000001}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 4, 0, 13), 'price': 0.07029, 'size': 1000, 'value': 998.86, 'cash_remaining': 998.86}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 4, 0, 25), 'price': 0.07051, 'size': 1000, 'value': 999.08, 'cash_remaining': 928.57}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 4, 0, 42), 'price': 0.0703, 'size': 1000, 'value': 999.1, 'cash_remaining': 999.1}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 4, 1, 13), 'price': 0.07079, 'size': 1000, 'value': 999.6, 'cash_remaining': 928.8100000000001}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 4, 2, 15), 'price': 0.07121, 'size': 1000, 'value': 999.59, 'cash_remaining': 999.59}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 4, 2, 36), 'price': 0.07145, 'size': 1000, 'value': 999.83, 'cash_remaining': 928.38}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 4, 3, 48), 'price': 0.07193, 'size': 1000, 'value': 999.83, 'cash_remaining': 999.83}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 4, 3, 56), 'price': 0.07263, 'size': 1000, 'value': 1000.5300000000001, 'cash_remaining': 927.9000000000001}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 4, 4, 57), 'price': 0.07229, 'size': 1000, 'value': 1000.5200000000001, 'cash_remaining': 1000.5200000000001}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 4, 5, 27), 'price': 0.0723, 'size': 1000, 'value': 1000.5200000000001, 'cash_remaining': 928.2200000000001}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 4, 5, 44), 'price': 0.07211, 'size': 1000, 'value': 1000.5300000000001, 'cash_remaining': 1000.5300000000001}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 4, 5, 54), 'price': 0.07233, 'size': 1000, 'value': 1000.7400000000001, 'cash_remaining': 928.4100000000001}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 4, 6, 39), 'price': 0.07222, 'size': 1000, 'value': 1000.73, 'cash_remaining': 1000.73}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 4, 6, 53), 'price': 0.07256, 'size': 1000, 'value': 1001.0699999999999, 'cash_remaining': 928.51}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 4, 7, 7), 'price': 0.0723, 'size': 1000, 'value': 1001.06, 'cash_remaining': 1001.06}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 4, 7, 40), 'price': 0.07265, 'size': 1000, 'value': 1001.4, 'cash_remaining': 928.75}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 4, 8, 24), 'price': 0.07238, 'size': 1000, 'value': 1001.39, 'cash_remaining': 1001.39}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 4, 10, 30), 'price': 0.07232, 'size': 1000, 'value': 1001.3199999999999, 'cash_remaining': 929.0}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 4, 10, 42), 'price': 0.0722, 'size': 1000, 'value': 1001.33, 'cash_remaining': 1001.33}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 4, 12, 27), 'price': 0.07222, 'size': 1000, 'value': 1001.35, 'cash_remaining': 929.13}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 4, 12, 48), 'price': 0.07206, 'size': 1000, 'value': 1001.34, 'cash_remaining': 1001.34}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 4, 13, 24), 'price': 0.07216, 'size': 1000, 'value': 1001.4399999999999, 'cash_remaining': 929.28}
